Geneid mock_infected1_S1 mock_infected2_S5 mock_infected9_S9 IFNb_treated12_S12 IFNb_treated2_S8 IFNb_treated4_S4
ENSG00000038358 1674 1809 1617 1440 1633 1380
ENSG00000038382 10096 11208 9610 10647 14102 11408
ENSG00000038427 5331 4760 4576 2029 5392 3766
ENSG00000038532 955 1142 940 845 1006 830
ENSG00000038945 167 126 132 323 660 503
ENSG00000039068 3 1 3 1 0 1
ENSG00000039123 2213 1798 1836 2292 2430 1735
ENSG00000039139 176 165 200 214 349 230
ENSG00000039319 1302 1065 1125 1716 1823 1182
ENSG00000039523 240 290 209 177 267 210
ENSG00000039537 0 2 0 2 1 3
ENSG00000039560 13071 13171 11654 17832 17029 12760
ENSG00000039600 1 0 3 1 3 1
ENSG00000039650 1056 1362 971 964 1050 878
ENSG00000039987 1 0 0 0 1 0
ENSG00000040199 855 831 801 731 872 633
ENSG00000040275 1062 1012 1030 1123 938 692
ENSG00000040341 548 512 511 391 539 351
ENSG00000040487 807 936 670 981 753 645
ENSG00000040531 1289 1420 1135 1226 1296 1129
ENSG00000040608 21 22 22 9 16 21
